secp256r1,0x2a1a0d0600403c91425b3bd2f88e9dc4092bfbe1717379aa51196e0103df636a,0xd4b6e0c6d53eccb22e573f87b0ac31de3705980583f2008a37a42df77af01f0f
af269bc1f04a67bd5b1be708545f1800463d9a368edf237056fed20252018cf2,-69f4c1756717cf5bb5c232851d791a9357054b197555aefe6d873fecb96acfc2,32
f820d6d42d29857e59a95ead513f92b2b5c70e1f839a99deb1660a32749f6dd7,-c569863c27e86928dd4757155d4e01ccc597c08987090f4d777adec8bd0d2f27,32
256d89fbabe9780b5576f4362427721731f7aaed18b53a6ec9997cf5804c2696,-bd5df916cb689209d86b43c41c7003e1e8b2fa843a42af84a0cc4e4db57d0e7a,32
b3c3427ea8f5cca8bf15a20564a398aae4655d16691c4e355594463f3c61649c,-58df9ad78e9a3eceb3068862ff28689eee2c31888fa856b97a7f584537896af4,32
7be21b6944db3ae88149017661eebba3218ee9067edfbc72145e91fb7d1ecedf,-904c967f762ceb7f6b86e5628df6f06d91becd23c410c73d3d1c1bd853b27e37,32
c7157619cb758f7df5ef485b0d1c7f05f42ac9fb5aae832b6fa684e02a640462,-b33aafae9d3b49107b52d8905cc9228b1fb33a5b3bc77a3d54cacfa76ed17ee,32
484deab4e5ff00e0226c1a5bda9737cb2833420877992e85d010292578987ed,-cd26d637618891cc086728b497d95e434bc6220d3a743aeef13707c56eb04695,32
26ac37da6f1b6d4962079bc132ac4804e9ff2d01f5080eb7de72672f8ccea14e,-222d26a73c308bb848f2410d43e1577c128bedad65e218700c6a649a1b9792d5,32
3a615ba933b46499dd69840f0280146957a7855e6d51dfd2342a109441199256,-8669e286251c7efdc6d06b0bbc88b5edc197b6b7ddb3cdaa911c2cb59d35b06e,32
4bbf9e2ab4502d570a1deb5d5c6ad057a7571dca383dd0667d9c131860c3b9b6,-146418d3203be97eeb92c8f628dd7bf0818a9032f26e94bba0459d932445b17,32
8f12ec448ee6c91a8d287fc5e60d7e1a3c7a316c053dfbe6c9aa6b2bd228c0bb,-ac34ab268b1926a658b7302808f94ee4a5f8b0c73f73cbf3d36f470af4ceee75,32
f14517a034c4fc58d16faedacdd23b41860ec3732a117143851a70c0da06d372,-152255bda475c0c7dd0b288919390c306cc8a3191cfafca15effc31645fe62ae,32
ac99585445a581f384d070da537c417171b33f9c2ff5cbbcfaf3dc6413a3257a,-26a18c803962d1c0f84259e291a9f0de0fe65c6ef94bd64f6569861f9b6f270d,32
3e0bee03872decf4b2ab3ab26077df3e75f32b472657d9325d8a9f020bda7df8,-62be58bba220b3fb153c590e6f2c909b5a7b3cec8076d23222f8b42ff3375ebc,32
b5ae11c06ae74e83cfe7ab9d8b3399fe44462c78f78317e03f828cee1be84599,-23a2302d7bf87ca8bd0eb301e11e686dfee75e457ae3bc876e918463aa1f4e83,32
90f800bcd9f6f6b62dd0757fed4bd7a957ef4af7dc5a9f9f5ce39a2cbf3aebe5,-fc3f22c952d464b37885144b536ee8f4e67a9780ec8c799b6ed890eab0c387d,32
d69cf4a6b53fbfe202800fb34a617565212341736ccaa928367b9137654edfa5,-e45d868b09913a9ff166a68b7996c46597de08b3bfcd1af07a9dfa83b79e8381,32
59d59e671e8f57722bfd70368d6e5c2c41d686d0631d916379be7c8e219e4e94,-8038b78f453f493d84272ef2bf3462d725a79336e6d0a6157f6ecb8dc25b082e,32
2807ce58b05dde5efd151c5dfacc29f19363fabce7ad9e451e3695b4ee259251,-e2bc1dcced4970e945544e939e1e8481f40725c251588e4990341c405727ccaa,32
566dbe98d8222e56b44d9aee03f3177d6483e383be58ca4b4ef89c361caaaaaf,-cf11f3313d9aff0e997ad9c20bc153d4893c8587b255dad5f6abce88ef83f736,32
a3191c4dc7c25b3ff60ee27abfb3d998493fe99456c24f3c0598e3e16c5d7dd2,-1fdfc0b3b68a1bc7a23f4f5ddb4700d8c8343043d613f5e0d9241b659f4f476b,32
